sales_agent,product,account,deal_stage,engage_date,close_date,close_value
Gladys Colclough,GTXPro,Hottechi,Lost,3/23/2017,4/3/2017,0
Kami Bicknell,GTXPro,Condax,Lost,3/23/2017,4/3/2017,0
Lajuana Vencill,MG Special,Condax,Lost,3/23/2017,4/5/2017,0
Lajuana Vencill,MG Special,Dontechi,Lost,3/23/2017,6/15/2017,0
Markita Hansen,GTX Basic,Nam-zim,Won,3/23/2017,6/5/2017,572
Markita Hansen,MG Special,Golddex,Won,3/23/2017,6/8/2017,54
Moses Frase,GTX Basic,Dontechi,Lost,3/23/2017,4/1/2017,0
Versie Hillebrand,MG Special,Stanredtax,Won,3/23/2017,5/5/2017,60
Versie Hillebrand,MG Advanced,Zumgoity,Won,3/23/2017,4/1/2017,3251
Vicki Laflamme,GTX Plus Pro,Lexiqvolax,Won,3/23/2017,6/14/2017,5930
Violet Mclelland,GTX Plus Basic,Mathtouch,Won,3/23/2017,4/1/2017,941
Anna Snelling,GTX Basic,Cancity,Lost,3/24/2017,5/18/2017,0
Anna Snelling,MG Special,Scottech,Won,3/24/2017,6/6/2017,56
Anna Snelling,MG Advanced,Codehow,Won,3/24/2017,4/4/2017,3445
Cecily Lampkin,MG Special,Bioholding,Won,3/24/2017,3/31/2017,54
Corliss Cosme,MG Advanced,Mathtouch,Won,3/24/2017,3/31/2017,3498
Daniell Hammack,GTX Basic,Vehement Capital Partners,Won,3/24/2017,4/2/2017,540
Daniell Hammack,GTXPro,Gekko & Co,Won,3/24/2017,4/2/2017,4986
Darcel Schlecht,GTX Plus Pro,Toughzap,Lost,3/24/2017,4/3/2017,0
Darcel Schlecht,GTX Plus Pro,Domzoom,Won,3/24/2017,5/15/2017,5214
Darcel Schlecht,GTXPro,Isdom,Won,3/24/2017,3/30/2017,4794
James Ascencio,GTX Plus Basic,Kan-code,Lost,3/24/2017,4/2/2017,0
Kary Hendrixson,GTX Plus Basic,Scotfind,Lost,3/24/2017,4/3/2017,0
Lajuana Vencill,GTX Basic,Cancity,Won,3/24/2017,5/27/2017,648
Lajuana Vencill,MG Advanced,Dontechi,Won,3/24/2017,6/30/2017,3040
Marty Freudenburg,GTX Plus Basic,Treequote,Won,3/24/2017,6/30/2017,1185
Marty Freudenburg,MG Special,Finhigh,Won,3/24/2017,3/26/2017,48
Maureen Marcano,GTX Plus Basic,J-Texon,Lost,3/24/2017,4/1/2017,0
Maureen Marcano,GTX Plus Basic,Cheers,Won,3/24/2017,6/30/2017,1021
Maureen Marcano,GTX Plus Basic,Scotfind,Won,3/24/2017,5/26/2017,1264
Moses Frase,MG Special,Zumgoity,Lost,3/24/2017,5/23/2017,0
Moses Frase,GTX Basic,Ron-tech,Won,3/24/2017,6/12/2017,503
Reed Clapper,GTXPro,Ganjaflex,Won,3/24/2017,4/3/2017,4440
Versie Hillebrand,GTX Plus Basic,Inity,Lost,3/24/2017,4/3/2017,0
Versie Hillebrand,MG Special,Rangreen,Won,3/24/2017,4/2/2017,52
Vicki Laflamme,GTX Basic,Konex,Lost,3/24/2017,4/3/2017,0
Violet Mclelland,GTX Basic,Initech,Lost,3/24/2017,5/5/2017,0
Violet Mclelland,MG Special,Gekko & Co,Lost,3/24/2017,4/6/2017,0
Violet Mclelland,GTX Basic,Gekko & Co,Won,3/24/2017,3/26/2017,499
Zane Levy,GTXPro,Cheers,Lost,3/24/2017,4/3/2017,0
Zane Levy,GTX Plus Basic,Condax,Won,3/24/2017,3/29/2017,1159
Anna Snelling,MG Special,Domzoom,Lost,3/25/2017,4/3/2017,0
Boris Faz,GTX Plus Pro,Betasoloin,Won,3/25/2017,5/20/2017,5479
Daniell Hammack,GTXPro,Zotware,Won,3/25/2017,5/19/2017,4555
Darcel Schlecht,MG Special,Hottechi,Lost,3/25/2017,4/2/2017,0
Elease Gluck,MG Special,Fasehatice,Lost,3/25/2017,5/25/2017,0
Garret Kinder,GTX Plus Basic,Initech,Won,3/25/2017,3/28/2017,1026
Gladys Colclough,GTX Basic,Stanredtax,Won,3/25/2017,4/3/2017,503
Gladys Colclough,GTX Plus Basic,Streethex,Won,3/25/2017,6/14/2017,1144
Gladys Colclough,MG Special,Genco Pura Olive Oil Company,Won,3/25/2017,6/16/2017,55
Markita Hansen,MG Advanced,Kan-code,Won,3/25/2017,4/6/2017,3181
Marty Freudenburg,MG Special,Scottech,Won,3/25/2017,6/19/2017,54
Maureen Marcano,GTXPro,Singletechno,Won,3/25/2017,6/30/2017,3959
Niesha Huffines,GTX Basic,Streethex,Won,3/25/2017,5/31/2017,571
Reed Clapper,GTXPro,Donquadtech,Lost,3/25/2017,4/5/2017,0
Vicki Laflamme,GTX Basic,Kan-code,Lost,3/25/2017,4/4/2017,0
Vicki Laflamme,GTX Basic,Blackzim,Won,3/25/2017,4/3/2017,545
Vicki Laflamme,GTX Basic,Labdrill,Won,3/25/2017,6/21/2017,554
Violet Mclelland,MG Special,Yearin,Won,3/25/2017,4/2/2017,68
Violet Mclelland,MG Special,Zencorporation,Won,3/25/2017,6/16/2017,52
Anna Snelling,MG Special,Globex Corporation,Lost,3/26/2017,4/4/2017,0
Anna Snelling,MG Special,Dontechi,Won,3/26/2017,4/4/2017,54
Cassey Cress,MG Advanced,Donware,Won,3/26/2017,5/25/2017,3822
Daniell Hammack,GTX Plus Basic,The New York Inquirer,Won,3/26/2017,4/5/2017,971
Daniell Hammack,GTX Plus Pro,Donware,Won,3/26/2017,4/5/2017,6024
Darcel Schlecht,GTXPro,Stanredtax,Won,3/26/2017,4/4/2017,4820
Donn Cantrell,GTX Plus Pro,Kinnamplus,Lost,3/26/2017,5/28/2017,0
Garret Kinder,GTXPro,Plussunin,Lost,3/26/2017,6/25/2017,0
Garret Kinder,MG Advanced,Ganjaflex,Won,3/26/2017,4/2/2017,2940
Hayden Neloms,MG Special,Doncon,Won,3/26/2017,4/4/2017,49
Jonathan Berthelot,GTX Basic,Conecom,Lost,3/26/2017,4/2/2017,0
Kami Bicknell,GTX Plus Basic,Finjob,Lost,3/26/2017,5/31/2017,0
Kami Bicknell,GTX Basic,J-Texon,Won,3/26/2017,5/22/2017,545
Markita Hansen,MG Special,Y-corporation,Won,3/26/2017,6/18/2017,58
Marty Freudenburg,MG Advanced,Streethex,Lost,3/26/2017,4/3/2017,0
Niesha Huffines,GTXPro,Dontechi,Won,3/26/2017,5/12/2017,4280
Reed Clapper,MG Advanced,Umbrella Corporation,Won,3/26/2017,5/29/2017,2880
Rosalina Dieter,GTK 500,Y-corporation,Won,3/26/2017,4/5/2017,25288
Versie Hillebrand,MG Special,Hottechi,Lost,3/26/2017,5/25/2017,0
Vicki Laflamme,MG Special,Hatfan,Lost,3/26/2017,5/6/2017,0
Zane Levy,GTX Basic,Goodsilron,Lost,3/26/2017,4/4/2017,0
Zane Levy,GTX Basic,Hottechi,Lost,3/26/2017,5/14/2017,0
Cecily Lampkin,MG Advanced,Zumgoity,Won,3/27/2017,5/29/2017,3267
Daniell Hammack,GTX Plus Pro,Betasoloin,Won,3/27/2017,6/9/2017,5182
Darcel Schlecht,GTXPro,Cancity,Lost,3/27/2017,4/5/2017,0
Darcel Schlecht,MG Special,Statholdings,Lost,3/27/2017,4/7/2017,0
Garret Kinder,GTXPro,Zencorporation,Lost,3/27/2017,5/31/2017,0
James Ascencio,GTX Basic,Y-corporation,Won,3/27/2017,5/25/2017,540
James Ascencio,MG Advanced,Finjob,Won,3/27/2017,5/1/2017,3492
Jonathan Berthelot,GTX Plus Pro,dambase,Won,3/27/2017,6/26/2017,5991
Markita Hansen,GTX Basic,Lexiqvolax,Lost,3/27/2017,4/2/2017,0
Markita Hansen,MG Advanced,Konex,Lost,3/27/2017,4/6/2017,0
Markita Hansen,GTXPro,Sunnamplex,Won,3/27/2017,6/26/2017,4968
Maureen Marcano,GTXPro,Konex,Won,3/27/2017,5/26/2017,5006
Moses Frase,MG Special,Conecom,Lost,3/27/2017,5/1/2017,0
Reed Clapper,GTX Plus Pro,Zotware,Lost,3/27/2017,5/15/2017,0
Reed Clapper,GTXPro,Mathtouch,Won,3/27/2017,4/5/2017,5363
Versie Hillebrand,MG Special,dambase,Won,3/27/2017,6/28/2017,49
Zane Levy,GTX Plus Basic,Fasehatice,Lost,3/27/2017,4/3/2017,0
Zane Levy,MG Advanced,Doncon,Won,3/27/2017,4/3/2017,4253
Anna Snelling,MG Special,Codehow,Lost,3/28/2017,4/8/2017,0
Anna Snelling,MG Special,Codehow,Lost,3/28/2017,6/8/2017,0
Cassey Cress,GTX Basic,Plussunin,Won,3/28/2017,5/30/2017,422
Cecily Lampkin,GTX Basic,Hottechi,Lost,3/28/2017,4/6/2017,0
Cecily Lampkin,GTX Plus Basic,Codehow,Won,3/28/2017,4/8/2017,1056
Corliss Cosme,GTXPro,Bioplex,Lost,3/28/2017,4/7/2017,0
Corliss Cosme,GTXPro,Ganjaflex,Lost,3/28/2017,5/28/2017,0
Darcel Schlecht,GTXPro,Dontechi,Lost,3/28/2017,4/6/2017,0
Darcel Schlecht,MG Advanced,Inity,Lost,3/28/2017,4/3/2017,0
Darcel Schlecht,MG Advanced,Warephase,Won,3/28/2017,4/9/2017,3665
Donn Cantrell,GTXPro,Donquadtech,Won,3/28/2017,6/3/2017,4329
Gladys Colclough,MG Special,Finhigh,Lost,3/28/2017,4/3/2017,0
Hayden Neloms,MG Special,Goodsilron,Won,3/28/2017,4/8/2017,58
James Ascencio,GTX Plus Pro,Y-corporation,Won,3/28/2017,6/26/2017,7356
James Ascencio,GTXPro,Fasehatice,Won,3/28/2017,6/25/2017,4066
Lajuana Vencill,MG Special,Condax,Won,3/28/2017,6/6/2017,55
Markita Hansen,MG Advanced,Zoomit,Won,3/28/2017,6/27/2017,3738
Maureen Marcano,GTX Basic,Hottechi,Lost,3/28/2017,4/4/2017,0
Maureen Marcano,MG Advanced,Labdrill,Lost,3/28/2017,5/26/2017,0
Maureen Marcano,GTX Plus Basic,Y-corporation,Won,3/28/2017,5/15/2017,888
Moses Frase,GTX Plus Pro,Bioholding,Won,3/28/2017,4/7/2017,5447
Niesha Huffines,GTX Plus Pro,Globex Corporation,Won,3/28/2017,4/5/2017,5972
Rosalina Dieter,GTXPro,Cheers,Won,3/28/2017,4/2/2017,4855
Rosie Papadopoulos,MG Advanced,Xx-zobam,Won,3/28/2017,5/29/2017,3395
Violet Mclelland,MG Special,Bioplex,Lost,3/28/2017,4/7/2017,0
Zane Levy,GTX Plus Basic,Goodsilron,Won,3/28/2017,3/30/2017,1084
Cecily Lampkin,MG Advanced,Inity,Won,3/29/2017,6/3/2017,3670
Daniell Hammack,GTX Plus Basic,Initech,Lost,3/29/2017,4/2/2017,0
Daniell Hammack,GTX Plus Pro,Gekko & Co,Won,3/29/2017,6/2/2017,5304
Darcel Schlecht,GTX Plus Pro,Treequote,Lost,3/29/2017,4/6/2017,0
Darcel Schlecht,GTXPro,Conecom,Won,3/29/2017,6/16/2017,3844
Donn Cantrell,GTX Basic,Acme Corporation,Won,3/29/2017,5/11/2017,549
Gladys Colclough,GTXPro,Condax,Lost,3/29/2017,5/20/2017,0
Gladys Colclough,MG Advanced,Stanredtax,Lost,3/29/2017,4/5/2017,0
Jonathan Berthelot,GTX Basic,Hottechi,Won,3/29/2017,4/5/2017,553
Kami Bicknell,GTX Plus Basic,Plexzap,Lost,3/29/2017,5/5/2017,0
Kami Bicknell,MG Advanced,Faxquote,Won,3/29/2017,4/7/2017,3523
Kary Hendrixson,GTX Basic,Konex,Lost,3/29/2017,5/20/2017,0
Kary Hendrixson,GTX Basic,Hottechi,Won,3/29/2017,6/28/2017,424
Marty Freudenburg,GTX Basic,Konmatfix,Won,3/29/2017,6/2/2017,490
Maureen Marcano,GTXPro,Konex,Lost,3/29/2017,4/4/2017,0
Maureen Marcano,MG Special,Green-Plus,Won,3/29/2017,4/7/2017,48
Moses Frase,MG Advanced,Hottechi,Won,3/29/2017,5/26/2017,3982
Rosalina Dieter,MG Advanced,Finjob,Lost,3/29/2017,6/11/2017,0
Vicki Laflamme,GTX Plus Pro,Sonron,Lost,3/29/2017,4/6/2017,0
Vicki Laflamme,GTX Plus Basic,Goodsilron,Won,3/29/2017,4/9/2017,1176
Wilburn Farren,GTX Basic,Betasoloin,Lost,3/29/2017,4/10/2017,0
Wilburn Farren,GTX Basic,Kinnamplus,Won,3/29/2017,4/4/2017,589
Zane Levy,GTX Plus Pro,Singletechno,Lost,3/29/2017,5/16/2017,0
Boris Faz,GTX Basic,Vehement Capital Partners,Lost,3/30/2017,4/1/2017,0
Boris Faz,GTX Plus Pro,Xx-zobam,Lost,3/30/2017,4/7/2017,0
Cassey Cress,GTXPro,The New York Inquirer,Won,3/30/2017,4/6/2017,4276
Cassey Cress,MG Advanced,Silis,Won,3/30/2017,4/7/2017,3390
Cecily Lampkin,GTX Basic,Bioholding,Lost,3/30/2017,4/11/2017,0
Cecily Lampkin,MG Special,dambase,Lost,3/30/2017,4/9/2017,0
Cecily Lampkin,GTX Basic,Dontechi,Won,3/30/2017,5/19/2017,541
Corliss Cosme,GTX Plus Pro,Ganjaflex,Won,3/30/2017,6/26/2017,5189
Daniell Hammack,GTXPro,Ganjaflex,Lost,3/30/2017,4/7/2017,0
Daniell Hammack,GTX Plus Pro,Xx-zobam,Won,3/30/2017,6/23/2017,6920
Darcel Schlecht,GTX Basic,Condax,Lost,3/30/2017,4/1/2017,0
Darcel Schlecht,GTX Plus Basic,Isdom,Lost,3/30/2017,4/7/2017,0
Darcel Schlecht,MG Advanced,Globex Corporation,Lost,3/30/2017,5/17/2017,0
Darcel Schlecht,GTX Basic,Bioholding,Won,3/30/2017,6/20/2017,600
Donn Cantrell,GTX Plus Basic,Bubba Gump,Lost,3/30/2017,4/11/2017,0
Donn Cantrell,GTXPro,Konex,Lost,3/30/2017,4/1/2017,0
Donn Cantrell,GTX Basic,Xx-zobam,Won,3/30/2017,4/6/2017,564
Elease Gluck,GTK 500,Goodsilron,Lost,3/30/2017,4/4/2017,0
Garret Kinder,GTX Plus Basic,Zathunicon,Won,3/30/2017,5/31/2017,1037
Kami Bicknell,GTX Basic,Hottechi,Won,3/30/2017,4/1/2017,500
Lajuana Vencill,GTX Plus Pro,Hottechi,Won,3/30/2017,4/7/2017,5728
Markita Hansen,MG Advanced,Kan-code,Lost,3/30/2017,4/9/2017,0
Marty Freudenburg,GTXPro,Statholdings,Lost,3/30/2017,4/6/2017,0
Moses Frase,MG Advanced,Scottech,Lost,3/30/2017,4/11/2017,0
Moses Frase,MG Special,Finhigh,Won,3/30/2017,5/20/2017,54
Rosalina Dieter,GTX Basic,Xx-holding,Won,3/30/2017,6/19/2017,501
Rosie Papadopoulos,GTX Plus Pro,Umbrella Corporation,Won,3/30/2017,4/8/2017,6155
Rosie Papadopoulos,GTX Plus Pro,Zathunicon,Won,3/30/2017,4/8/2017,4668
Versie Hillebrand,GTX Plus Pro,Zumgoity,Won,3/30/2017,6/9/2017,5017
Versie Hillebrand,MG Special,Ron-tech,Won,3/30/2017,4/8/2017,59
Vicki Laflamme,GTXPro,Fasehatice,Lost,3/30/2017,4/8/2017,0
Vicki Laflamme,MG Advanced,Plexzap,Won,3/30/2017,4/6/2017,3316
Zane Levy,GTX Plus Pro,Plexzap,Won,3/30/2017,4/10/2017,6227
Anna Snelling,MG Special,Treequote,Lost,3/31/2017,4/7/2017,0
Anna Snelling,MG Special,Condax,Won,3/31/2017,6/15/2017,58
Anna Snelling,MG Advanced,dambase,Won,3/31/2017,4/8/2017,3626
Boris Faz,MG Advanced,Vehement Capital Partners,Won,3/31/2017,4/1/2017,2819
Cassey Cress,GTXPro,Xx-zobam,Lost,3/31/2017,4/1/2017,0
Cassey Cress,GTXPro,Zencorporation,Lost,3/31/2017,4/7/2017,0
Gladys Colclough,GTX Plus Pro,Globex Corporation,Lost,3/31/2017,4/2/2017,0
Hayden Neloms,GTX Plus Basic,Fasehatice,Won,3/31/2017,4/9/2017,901
Hayden Neloms,MG Advanced,Doncon,Won,3/31/2017,6/4/2017,3438
James Ascencio,GTX Basic,Faxquote,Won,3/31/2017,4/8/2017,589
Kami Bicknell,MG Special,Plusstrip,Lost,3/31/2017,6/20/2017,0
Kami Bicknell,GTXPro,Sunnamplex,Won,3/31/2017,4/1/2017,5073
Kary Hendrixson,MG Advanced,Hottechi,Lost,3/31/2017,4/1/2017,0
Kary Hendrixson,GTX Basic,Konex,Won,3/31/2017,4/2/2017,609
Kary Hendrixson,MG Special,Goodsilron,Won,3/31/2017,4/1/2017,55
Markita Hansen,MG Special,Fasehatice,Lost,3/31/2017,4/12/2017,0
Maureen Marcano,GTX Plus Basic,Green-Plus,Lost,3/31/2017,4/12/2017,0
Maureen Marcano,GTX Plus Pro,Condax,Won,3/31/2017,4/10/2017,5637
Maureen Marcano,GTX Plus Pro,Plexzap,Won,3/31/2017,4/11/2017,5793
Reed Clapper,MG Special,Massive Dynamic,Lost,3/31/2017,4/12/2017,0
Rosalina Dieter,GTX Basic,J-Texon,Lost,3/31/2017,4/5/2017,0
Rosalina Dieter,MG Advanced,Dalttechnology,Lost,3/31/2017,5/30/2017,0
Rosalina Dieter,GTX Basic,Hottechi,Won,3/31/2017,4/7/2017,520
Rosalina Dieter,MG Advanced,Finjob,Won,3/31/2017,4/2/2017,4080
Versie Hillebrand,GTX Basic,Inity,Won,3/31/2017,6/30/2017,526
Versie Hillebrand,MG Special,Scottech,Won,3/31/2017,5/17/2017,57
Vicki Laflamme,MG Advanced,Xx-holding,Lost,3/31/2017,4/9/2017,0
Vicki Laflamme,MG Special,Y-corporation,Won,3/31/2017,6/28/2017,54
Vicki Laflamme,MG Advanced,Sunnamplex,Won,3/31/2017,4/12/2017,3367
Zane Levy,GTX Basic,Dalttechnology,Won,3/31/2017,4/6/2017,430
Anna Snelling,GTX Basic,Hottechi,Won,4/1/2017,5/5/2017,518
Boris Faz,GTX Plus Basic,Umbrella Corporation,Lost,4/1/2017,4/12/2017,0
Corliss Cosme,GTX Plus Basic,Zotware,Lost,4/1/2017,4/11/2017,0
Daniell Hammack,GTXPro,Massive Dynamic,Lost,4/1/2017,4/3/2017,0
Darcel Schlecht,GTX Plus Pro,Bioholding,Won,4/1/2017,4/8/2017,5798
Darcel Schlecht,GTXPro,Betatech,Won,4/1/2017,4/10/2017,4685
Darcel Schlecht,MG Advanced,Genco Pura Olive Oil Company,Won,4/1/2017,6/17/2017,3228
Donn Cantrell,GTX Basic,Initech,Lost,4/1/2017,4/3/2017,0
Elease Gluck,GTX Basic,Plexzap,Won,4/1/2017,6/22/2017,452
Gladys Colclough,GTX Plus Basic,Condax,Lost,4/1/2017,4/11/2017,0
Jonathan Berthelot,GTX Basic,Dontechi,Won,4/1/2017,4/8/2017,565
Jonathan Berthelot,GTX Plus Basic,Warephase,Won,4/1/2017,6/5/2017,1184
Kami Bicknell,GTX Plus Basic,Hatfan,Won,4/1/2017,6/22/2017,1150
Kary Hendrixson,GTX Plus Basic,Singletechno,Won,4/1/2017,5/24/2017,1110
Lajuana Vencill,MG Advanced,Zumgoity,Lost,4/1/2017,4/10/2017,0
Markita Hansen,MG Advanced,J-Texon,Won,4/1/2017,4/6/2017,3817
Marty Freudenburg,MG Advanced,Rundofase,Lost,4/1/2017,4/10/2017,0
Moses Frase,MG Advanced,Bioholding,Lost,4/1/2017,4/6/2017,0
Niesha Huffines,GTX Basic,Hottechi,Won,4/1/2017,4/10/2017,531
Reed Clapper,GTX Plus Pro,The New York Inquirer,Lost,4/1/2017,4/4/2017,0
Reed Clapper,MG Advanced,Ontomedia,Lost,4/1/2017,4/2/2017,0
Rosalina Dieter,MG Special,Blackzim,Won,4/1/2017,4/7/2017,51
Rosie Papadopoulos,GTXPro,Mathtouch,Won,4/1/2017,5/12/2017,5106
Versie Hillebrand,MG Advanced,Genco Pura Olive Oil Company,Lost,4/1/2017,4/13/2017,0
Versie Hillebrand,MG Special,Stanredtax,Won,4/1/2017,4/2/2017,60
Vicki Laflamme,GTXPro,Y-corporation,Lost,4/1/2017,4/9/2017,0
Wilburn Farren,GTX Plus Pro,Zotware,Lost,4/1/2017,4/9/2017,0
Zane Levy,GTX Plus Basic,Hottechi,Lost,4/1/2017,4/2/2017,0
Zane Levy,GTXPro,Hatfan,Won,4/1/2017,6/29/2017,5079
Anna Snelling,GTX Basic,Streethex,Won,4/2/2017,6/20/2017,460
Boris Faz,GTX Plus Basic,Iselectrics,Lost,4/2/2017,6/24/2017,0
Cecily Lampkin,MG Advanced,Domzoom,Won,4/2/2017,4/10/2017,3343
Corliss Cosme,GTX Plus Pro,Xx-zobam,Won,4/2/2017,5/28/2017,5125
Darcel Schlecht,MG Advanced,Bioholding,Won,4/2/2017,4/11/2017,3263
Elease Gluck,GTX Plus Basic,Fasehatice,Won,4/2/2017,4/8/2017,976
Garret Kinder,GTXPro,Plussunin,Won,4/2/2017,4/9/2017,4746
Gladys Colclough,GTX Plus Basic,Conecom,Lost,4/2/2017,4/3/2017,0
Gladys Colclough,GTX Basic,Codehow,Won,4/2/2017,4/11/2017,507
James Ascencio,GTX Basic,Konex,Lost,4/2/2017,4/14/2017,0
James Ascencio,GTXPro,Fasehatice,Won,4/2/2017,4/9/2017,5693
Kami Bicknell,GTX Plus Basic,Fasehatice,Lost,4/2/2017,4/14/2017,0
Kary Hendrixson,GTX Basic,Labdrill,Lost,4/2/2017,4/3/2017,0
Kary Hendrixson,GTX Basic,Cheers,Won,4/2/2017,4/10/2017,488
Kary Hendrixson,GTX Basic,Rantouch,Won,4/2/2017,5/20/2017,605
Markita Hansen,GTX Plus Pro,Xx-holding,Lost,4/2/2017,5/15/2017,0
Marty Freudenburg,GTX Plus Basic,Funholding,Won,4/2/2017,4/11/2017,949
Maureen Marcano,GTX Plus Basic,Faxquote,Won,4/2/2017,4/4/2017,882
Maureen Marcano,GTX Plus Basic,Goodsilron,Won,4/2/2017,6/22/2017,1096
Reed Clapper,GTX Basic,Donware,Lost,4/2/2017,4/10/2017,0
Reed Clapper,GTX Basic,Donware,Won,4/2/2017,8/4/2017,572
Rosie Papadopoulos,MG Advanced,Bluth Company,Lost,4/2/2017,4/7/2017,0
Rosie Papadopoulos,GTXPro,Kinnamplus,Won,4/2/2017,4/12/2017,3731
Versie Hillebrand,MG Special,Konmatfix,Lost,4/2/2017,4/12/2017,0
Zane Levy,GTX Plus Basic,Hottechi,Won,4/2/2017,6/13/2017,1214
Zane Levy,GTXPro,Sunnamplex,Won,4/2/2017,4/3/2017,4444
Anna Snelling,GTX Basic,Rangreen,Won,4/3/2017,6/27/2017,524
Cassey Cress,GTX Plus Basic,Bubba Gump,Won,4/3/2017,5/20/2017,997
Corliss Cosme,MG Advanced,Betasoloin,Won,4/3/2017,4/10/2017,2794
Darcel Schlecht,MG Special,Rangreen,Won,4/3/2017,4/9/2017,53
Darcel Schlecht,MG Advanced,Globex Corporation,Won,4/3/2017,4/13/2017,3141
Donn Cantrell,MG Special,Silis,Lost,4/3/2017,4/15/2017,0
Donn Cantrell,GTX Plus Basic,Bioplex,Won,4/3/2017,6/26/2017,1109
Donn Cantrell,GTX Plus Pro,Iselectrics,Won,4/3/2017,4/14/2017,5691
Elease Gluck,MG Special,Nam-zim,Won,4/3/2017,4/7/2017,52
Gladys Colclough,MG Special,Hottechi,Lost,4/3/2017,4/10/2017,0
Gladys Colclough,GTX Basic,Betatech,Won,4/3/2017,4/5/2017,532
Gladys Colclough,GTXPro,Isdom,Won,4/3/2017,4/4/2017,5615
James Ascencio,GTX Basic,Goodsilron,Lost,4/3/2017,4/4/2017,0
Kami Bicknell,GTXPro,Faxquote,Lost,4/3/2017,5/26/2017,0
Kami Bicknell,GTX Basic,J-Texon,Won,4/3/2017,4/12/2017,565
Lajuana Vencill,GTX Basic,Ron-tech,Lost,4/3/2017,4/11/2017,0
Reed Clapper,GTXPro,Gekko & Co,Lost,4/3/2017,4/5/2017,0
Reed Clapper,GTXPro,Yearin,Won,4/3/2017,4/14/2017,3991
Rosie Papadopoulos,GTXPro,Kinnamplus,Won,4/3/2017,5/20/2017,5763
Versie Hillebrand,MG Special,Conecom,Lost,4/3/2017,4/14/2017,0
Vicki Laflamme,MG Advanced,Cheers,Lost,4/3/2017,4/11/2017,0
Vicki Laflamme,GTX Basic,J-Texon,Won,4/3/2017,4/15/2017,456
Wilburn Farren,MG Special,Bluth Company,Lost,4/3/2017,4/5/2017,0
Anna Snelling,GTX Basic,Domzoom,Won,4/4/2017,4/11/2017,582
Anna Snelling,MG Special,Domzoom,Won,4/4/2017,4/12/2017,59
Boris Faz,MG Advanced,Donquadtech,Won,4/4/2017,4/9/2017,3259
Corliss Cosme,GTX Basic,Ganjaflex,Lost,4/4/2017,5/10/2017,0
Corliss Cosme,GTX Plus Basic,Kan-code,Lost,4/4/2017,4/11/2017,0
Corliss Cosme,GTX Basic,Vehement Capital Partners,Won,4/4/2017,4/11/2017,593
Corliss Cosme,GTXPro,Plussunin,Won,4/4/2017,6/26/2017,5197
Darcel Schlecht,GTXPro,dambase,Lost,4/4/2017,4/15/2017,0
Darcel Schlecht,GTXPro,Konmatfix,Lost,4/4/2017,6/21/2017,0
Darcel Schlecht,MG Special,Statholdings,Lost,4/4/2017,4/12/2017,0
Darcel Schlecht,MG Advanced,Finhigh,Won,4/4/2017,6/18/2017,3031
Donn Cantrell,GTXPro,Gekko & Co,Lost,4/4/2017,4/15/2017,0
Donn Cantrell,GTXPro,Zencorporation,Won,4/4/2017,5/25/2017,5244
Elease Gluck,MG Special,Green-Plus,Lost,4/4/2017,4/10/2017,0
Garret Kinder,GTX Plus Pro,Ontomedia,Won,4/4/2017,6/20/2017,5946
Hayden Neloms,GTX Plus Basic,Golddex,Lost,4/4/2017,4/8/2017,0
James Ascencio,GTX Plus Pro,Labdrill,Lost,4/4/2017,4/11/2017,0
James Ascencio,GTXPro,Singletechno,Won,4/4/2017,6/6/2017,4335
Jonathan Berthelot,GTX Plus Pro,Finhigh,Lost,4/4/2017,4/6/2017,0
Jonathan Berthelot,GTXPro,Konmatfix,Won,4/4/2017,4/6/2017,5063
Jonathan Berthelot,GTXPro,Streethex,Won,4/4/2017,4/10/2017,5032
Kami Bicknell,GTXPro,Labdrill,Won,4/4/2017,5/31/2017,4398
Kami Bicknell,GTXPro,Scotfind,Won,4/4/2017,4/6/2017,4449
Kary Hendrixson,GTX Plus Pro,Blackzim,Lost,4/4/2017,5/10/2017,0
Lajuana Vencill,GTX Basic,Treequote,Lost,4/4/2017,4/6/2017,0
Lajuana Vencill,MG Advanced,Isdom,Lost,4/4/2017,4/15/2017,0
Lajuana Vencill,MG Special,Funholding,Won,4/4/2017,5/31/2017,50
Markita Hansen,GTX Basic,Goodsilron,Won,4/4/2017,6/3/2017,605
Markita Hansen,MG Special,Scotfind,Won,4/4/2017,4/8/2017,57
Markita Hansen,MG Advanced,Cheers,Won,4/4/2017,6/10/2017,2882
Marty Freudenburg,MG Advanced,Gogozoom,Won,4/4/2017,6/5/2017,3011
Maureen Marcano,GTX Plus Basic,Rantouch,Won,4/4/2017,4/11/2017,1181
Niesha Huffines,GTX Plus Basic,Betatech,Won,4/4/2017,6/11/2017,1067
Reed Clapper,GTX Basic,Donquadtech,Lost,4/4/2017,4/13/2017,0
Reed Clapper,GTX Basic,Initech,Lost,4/4/2017,4/9/2017,0
Versie Hillebrand,MG Special,Isdom,Won,4/4/2017,4/6/2017,54
Zane Levy,GTX Basic,Plexzap,Won,4/4/2017,6/29/2017,564
Anna Snelling,GTX Plus Basic,Conecom,Lost,4/5/2017,4/6/2017,0
Anna Snelling,MG Special,Betatech,Won,4/5/2017,4/14/2017,57
Cassey Cress,GTXPro,Yearin,Won,4/5/2017,6/30/2017,5558
